country,iso3,source_age_group,target_age_group,contacts_per_day,source,source_type
United_States,USA,infant_0_2m,school_7_17y,1.61393,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,infant_0_2m,adult_18plus,7.476861,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,infant_3_11m,infant_0_2m,0.11041,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,infant_3_11m,infant_3_11m,0.331231,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,infant_3_11m,child_1_6y,2.279302,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,infant_3_11m,school_7_17y,1.61393,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,infant_3_11m,adult_18plus,7.476861,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,child_1_6y,infant_0_2m,0.092104,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,child_1_6y,infant_3_11m,0.276313,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,child_1_6y,child_1_6y,2.576495,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,child_1_6y,school_7_17y,3.012521,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,child_1_6y,adult_18plus,7.495988,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,school_7_17y,infant_0_2m,0.031307,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,school_7_17y,infant_3_11m,0.09392,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,school_7_17y,child_1_6y,1.446122,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,school_7_17y,school_7_17y,9.402353,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,school_7_17y,adult_18plus,9.194847,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,adult_18plus,infant_0_2m,0.025182,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,adult_18plus,infant_3_11m,0.075546,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,adult_18plus,child_1_6y,0.62477,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,adult_18plus,school_7_17y,1.596471,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
United_States,USA,adult_18plus,adult_18plus,10.421926,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,infant_0_2m,infant_0_2m,0.123491,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,infant_0_2m,infant_3_11m,0.370472,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,infant_0_2m,child_1_6y,2.575694,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,infant_0_2m,school_7_17y,1.74275,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,infant_0_2m,adult_18plus,7.471337,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,infant_3_11m,infant_0_2m,0.123491,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,infant_3_11m,infant_3_11m,0.370472,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,infant_3_11m,child_1_6y,2.575694,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,infant_3_11m,school_7_17y,1.74275,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,infant_3_11m,adult_18plus,7.471337,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,child_1_6y,infant_0_2m,0.101767,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,child_1_6y,infant_3_11m,0.305302,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,child_1_6y,child_1_6y,2.853517,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,child_1_6y,school_7_17y,3.159983,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,child_1_6y,adult_18plus,7.477517,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,school_7_17y,infant_0_2m,0.035019,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,school_7_17y,infant_3_11m,0.105058,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,school_7_17y,child_1_6y,1.607103,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,school_7_17y,school_7_17y,8.810801,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,school_7_17y,adult_18plus,9.013383,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,adult_18plus,infant_0_2m,0.029549,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,adult_18plus,infant_3_11m,0.088648,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,adult_18plus,child_1_6y,0.748498,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,adult_18plus,school_7_17y,1.774035,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Brazil,BRA,adult_18plus,adult_18plus,10.843875,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Thailand,THA,infant_0_2m,infant_0_2m,0.09101,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Thailand,THA,infant_0_2m,infant_3_11m,0.273031,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Thailand,THA,infant_0_2m,child_1_6y,1.969671,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
Thailand,THA,infant_0_2m,school_7_17y,1.548822,Prem/contactdata 2020 matrix aggregated with WPP age weights and reciprocity balanced,derived
