country,log_beta_S,beta_S,log_posterior,log_posterior_raw,posterior_weight,grid_half_width,grid_points,grid_tail_drop_target,grid_min_effective_points_target,grid_max_single_weight_target,grid_left_edge_drop,grid_right_edge_drop,grid_min_edge_drop,grid_effective_points,grid_max_weight,grid_smoothing
Brazil,-4.705376298091756,0.009046509393106751,-3251.5203242879334,-3253.9011730629054,0.032145525710146214,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705343681226755,0.009046804466694517,-3251.2486657321047,-3255.991635113689,0.04217939482993292,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705311064361754,0.009047099549906816,-3251.4275806883784,-3255.910654927033,0.03526944016738069,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705278447496753,0.009047394642743959,-3251.239919260611,-3251.019749645215,0.04254993379648849,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.7052458306317515,0.009047689745206271,-3251.075146079931,-3252.488720596398,0.050171717915559556,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705213213766751,0.00904798485729405,-3251.113632431109,-3256.177933584804,0.04827747658579665,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.70518059690175,0.009048279979007617,-3251.019749645215,-3254.9089048728124,0.05302947624466334,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705147980036748,0.009048575110347295,-3251.2036922651114,-3253.7389172921726,0.04411965146366004,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705115363171747,0.009048870251313379,-3251.4407790666714,-3255.2914579196618,0.03480699920223897,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705082746306746,0.009049165401906194,-3251.5896057475284,-3257.0172590201323,0.029993833550015874,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.705050129441745,0.009049460562126053,-3251.8273078432094,-3257.1759156343123,0.023648264191128292,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.7050175125767435,0.009049755731973278,-3251.8615905232086,-3258.1004233730987,0.022851277789010083,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704984895711743,0.009050050911448167,-3252.1573417222057,-3255.699508431936,0.017000722404301553,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704952278846742,0.009050346100551042,-3252.149877937806,-3255.4300982755917,0.017128086850076808,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704919661981741,0.009050641299282219,-3252.0067795353275,-3256.9866271327037,0.01976312888964639,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704887045116739,0.009050936507642016,-3251.8981964112704,-3254.2401338704544,0.02202991160799874,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704854428251738,0.009051231725630734,-3251.9332416003854,-3255.605571770499,0.02127124071809815,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704821811386737,0.009051526953248694,-3252.0031782595365,-3254.0302140385684,0.01983442967711096,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704789194521736,0.00905182219049621,-3252.0736483140377,-3255.49981741157,0.018484808742304903,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704756577656735,0.009052117437373606,-3252.073646880316,-3256.11874116283,0.018484835244392286,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704723960791734,0.009052412693881177,-3252.2274134373947,-3256.11835927369,0.015850231760580768,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704691343926733,0.009052707960019248,-3252.4394402678595,-3256.248980674819,0.012821933919495774,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704658727061732,0.00905300323578813,-3252.424359236873,-3254.523280257538,0.013016767354086226,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.70462611019673,0.00905329852118815,-3252.2578851170833,-3259.7042014564404,0.015374533052256318,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704593493331729,0.009053593816219601,-3252.123445604908,-3257.033606147864,0.017586858637452917,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704560876466728,0.009053889120882806,-3252.2295965823737,-3256.5895674468734,0.01581566615129396,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704528259601727,0.009054184435178091,-3252.313780028324,-3258.1666951010616,0.014538750475922535,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704495642736726,0.009054479759105751,-3252.6736039336047,-3256.803644077783,0.01014512836394799,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704463025871725,0.009054775092666108,-3252.896441135912,-3254.488083922724,0.008118589432043282,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704430409006724,0.009055070435859477,-3253.0408286077027,-3255.652918771981,0.007027063804163899,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704397792141722,0.00905536578868618,-3253.5358621110986,-3254.7334328068837,0.004283350149553325,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704365175276721,0.009055661151146517,-3253.750419845811,-3253.621710471615,0.00345622762994468,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.70433255841172,0.009055956523240807,-3253.8621462240735,-3258.4736500414638,0.003090866077618169,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.7042999415467195,0.009056251904969366,-3254.047234104782,-3260.1289027781213,0.0025686062970612425,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704267324681718,0.009056547296332516,-3254.4188708421952,-3261.2262696804673,0.0017713229867664306,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704234707816717,0.009056842697330557,-3254.8808176850994,-3261.7093703189234,0.0011160323763787674,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
Brazil,-4.704202090951716,0.009057138107963807,-3255.4268970130256,-3260.920333805032,0.0006464241231152045,0.002609349200089877,161,20.0,10.0,0.2,34.620984917128226,27.257772175595164,27.257772175595164,35.791523039413605,0.05302947624466334,savgol
